Region: 00  | Segments: 48    | Area: 510176.066
 S           | A               | B               | E           | Color
 681.0, 156.5| 682.833, 160.167| 684.667, 163.833| 686.5, 167.5|yellow
 686.5, 167.5| 682.833, 167.833| 679.167, 168.167| 675.5, 168.5|green
 675.5, 168.5| 665.795, 167.722| 656.128, 166.888| 646.5, 166.0|blue
 646.5, 166.0| 634.419, 176.489| 631.086, 189.322| 636.5, 204.5|pink
 636.5, 204.5| 611.142, 218.178| 584.808, 229.678| 557.5, 239.0|red
 557.5, 239.0| 544.949, 244.554| 534.449, 252.721| 526.0, 263.5|orange
 526.0, 263.5| 524.725, 265.717| 523.725, 268.051| 523.0, 270.5|yellow
 523.0, 270.5| 523.742, 285.351| 517.909, 296.685| 505.5, 304.5|green
 505.5, 304.5| 502.585, 294.684| 500.418, 284.684| 499.0, 274.5|blue
 499.0, 274.5| 498.804, 272.714| 497.971, 271.381| 496.5, 270.5|pink
 496.5, 270.5| 466.636, 287.733| 434.970, 300.567| 401.5, 309.0|red
 401.5, 309.0| 399.202, 320.952| 400.702, 332.452| 406.0, 343.5|orange
 406.0, 343.5| 409.707, 350.414| 413.540, 357.248| 417.5, 364.0|yellow
 417.5, 364.0| 411.145, 368.848| 404.145, 372.681| 396.5, 375.5|green
 396.5, 375.5| 392.890, 365.611| 388.723, 355.944| 384.0, 346.5|blue
 384.0, 346.5| 380.567, 337.100| 378.233, 327.433| 377.0, 317.5|pink
 377.0, 317.5| 376.481, 316.484| 375.647, 315.818| 374.5, 315.5|red
 374.5, 315.5| 344.757, 330.103| 313.423, 339.437| 280.5, 343.5|orange
 280.5, 343.5| 279.359, 362.205| 280.026, 380.871| 282.5, 399.5|yellow
 282.5, 399.5| 275.278, 400.127| 268.278, 401.794| 261.5, 404.5|green
 261.5, 404.5| 260.066, 386.857| 259.066, 369.191| 258.5, 351.5|blue
 258.5, 351.5| 245.232, 353.987| 231.898, 356.153| 218.5, 358.0|pink
 218.5, 358.0| 205.863, 359.227| 193.197, 359.727| 180.5, 359.5|red
 180.5, 359.5| 181.488, 375.775| 184.155, 391.775| 188.5, 407.5|orange
 188.5, 407.5| 181.916, 407.733| 175.249, 407.733| 168.5, 407.5|yellow
 168.5, 407.5| 166.829, 385.009| 155.495, 369.843| 134.5, 362.0|green
 134.5, 362.0| 127.500, 361.333| 120.500, 361.333| 113.5, 362.0|blue
 113.5, 362.0| 110.766, 362.210| 108.266, 363.044| 106.0, 364.5|pink
 106.0, 364.5| 105.389, 368.682| 106.056, 372.682| 108.0, 376.5|red
 108.0, 376.5| 112.500, 386.167| 117.000, 395.833| 121.5, 405.5|orange
 121.5, 405.5| 120.667, 405.833| 119.833, 406.167| 119.0, 406.5|yellow
 119.0, 406.5| 111.147, 405.598| 103.314, 404.598|  95.5, 403.5|green
  95.5, 403.5|  92.961, 396.750|  90.128, 390.083|  87.0, 383.5|blue
  87.0, 383.5|  85.812, 378.049|  84.312, 372.716|  82.5, 367.5|pink
  82.5, 367.5|  75.066, 365.300|  67.733, 362.800|  60.5, 360.0|red
  60.5, 360.0|  57.183, 359.502|  53.850, 359.335|  50.5, 359.5|orange
  50.5, 359.5|  50.351, 362.607|  50.851, 365.607|  52.0, 368.5|yellow
  52.0, 368.5|  58.115, 376.391|  62.948, 385.058|  66.5, 394.5|green
  66.5, 394.5|  66.167, 394.833|  65.833, 395.167|  65.5, 395.5|blue
  65.5, 395.5|  56.340, 393.116|  47.007, 391.783|  37.5, 391.5|pink
  37.5, 391.5|  35.060, 373.763|  26.060, 360.763|  10.5, 352.5|red
  10.5, 352.5|  10.335, 355.850|  10.502, 359.183|  11.0, 362.5|orange
  11.0, 362.5|  14.191, 368.906|  16.691, 375.573|  18.5, 382.5|yellow
  18.5, 382.5|  11.282, 382.220|   5.116, 379.220|   0.0, 373.5|green
   0.0, 373.5|  -7.333, 364.167| -14.667, 354.833| -22.0, 345.5|blue
 -22.0, 345.5| -29.416, 332.999| -37.083, 320.665| -45.0, 308.5|pink
 -45.0, 308.5| -52.742, 296.273| -57.076, 282.940| -58.0, 268.5|red
 -58.0, 268.5| -61.784, 225.433| -52.784, 185.100| -31.0, 147.5|orange
 -31.0, 147.5| -30.284, 138.953| -28.784, 130.619| -26.5, 122.5|yellow


Region: 17  | Segments: 13    | Area: 2282.470
 S           | A               | B               | E           | Color
 312.5, 132.5| 327.683, 131.296| 341.683, 134.796| 354.5, 143.0|black
 354.5, 143.0| 357.000, 144.167| 358.833, 146.000| 360.0, 148.5|red
 360.0, 148.5| 360.652, 153.077| 361.485, 157.577| 362.5, 162.0|orange
 362.5, 162.0| 361.125, 170.480| 359.625, 178.980| 358.0, 187.5|yellow
 358.0, 187.5| 352.582, 203.795| 341.415, 209.462| 324.5, 204.5|green
 324.5, 204.5| 324.057, 198.328| 325.557, 192.662| 329.0, 187.5|blue
 329.0, 187.5| 334.333, 183.500| 339.000, 178.833| 343.0, 173.5|pink
 343.0, 173.5| 343.667, 170.500| 343.667, 167.500| 343.0, 164.5|red
 343.0, 164.5| 340.872, 161.370| 338.372, 158.537| 335.5, 156.0|orange
 335.5, 156.0| 324.581, 153.897| 313.581, 152.231| 302.5, 151.0|yellow
 302.5, 151.0| 299.990, 150.624| 297.657, 149.790| 295.5, 148.5|green
 295.5, 148.5| 297.372, 144.588| 299.372, 140.755| 301.5, 137.0|blue
 301.5, 137.0| 305.053, 134.879| 308.720, 133.379| 312.5, 132.5|pink


Region: 18  | Segments: 09    | Area: 817.857
 S           | A               | B               | E           | Color
 368.5, 134.5| 370.288, 134.215| 371.955, 134.548| 373.5, 135.5|black
 373.5, 135.5| 373.823, 141.643| 376.490, 146.476| 381.5, 150.0|red
 381.5, 150.0| 401.157, 150.535| 420.824, 151.201| 440.5, 152.0|orange
 440.5, 152.0| 445.922, 153.070| 448.089, 156.236| 447.0, 161.5|yellow
 447.0, 161.5| 446.000, 162.167| 445.000, 162.833| 444.0, 163.5|green
 444.0, 163.5| 439.709, 161.635| 435.209, 160.469| 430.5, 160.0|blue
 430.5, 160.0| 411.808, 159.855| 393.142, 159.188| 374.5, 158.0|pink
 374.5, 158.0| 368.615, 155.704| 365.615, 151.370| 365.5, 145.0|red
 365.5, 145.0| 366.435, 141.497| 367.435, 137.997| 368.5, 134.5|orange


Region: 19  | Segments: 07    | Area: 1455.479
 S           | A               | B               | E           | Color
 277.5, 167.5| 289.843, 168.798| 302.176, 170.465| 314.5, 172.5|black
 314.5, 172.5| 314.124, 180.188| 313.457, 187.854| 312.5, 195.5|red
 312.5, 195.5| 308.061, 193.298| 303.394, 191.798| 298.5, 191.0|orange
 298.5, 191.0| 281.157, 190.746| 263.823, 190.246| 246.5, 189.5|yellow
 246.5, 189.5| 244.500, 189.167| 242.500, 188.833| 240.5, 188.5|green
 240.5, 188.5| 242.142, 179.676| 247.142, 173.843| 255.5, 171.0|blue
 255.5, 171.0| 262.947, 169.657| 270.280, 168.491| 277.5, 167.5|pink


Region: 20  | Segments: 25    | Area: 18023.634
 S           | A               | B               | E           | Color
 604.5, 236.5| 605.376, 236.369| 606.043, 236.702| 606.5, 237.5|black
 606.5, 237.5| 589.657, 264.525| 571.823, 290.858| 553.0, 316.5|red
 553.0, 316.5| 523.152, 349.514| 487.985, 375.347| 447.5, 394.0|orange
 447.5, 394.0| 397.793, 416.428| 345.793, 430.762| 291.5, 437.0|yellow
 291.5, 437.0| 212.554, 446.570| 133.554, 445.904|  54.5, 435.0|green
  54.5, 435.0|  29.484, 431.773|   6.151, 423.773| -15.5, 411.0|blue
 -15.5, 411.0| -21.333, 406.500| -26.500, 401.333| -31.0, 395.5|pink
 -31.0, 395.5| -45.160, 373.190| -53.660, 348.856| -56.5, 322.5|red
 -56.5, 322.5| -55.500, 322.500| -54.500, 322.500| -53.5, 322.5|orange
 -53.5, 322.5| -51.653, 329.194| -48.486, 335.194| -44.0, 340.5|yellow
 -44.0, 340.5| -33.334, 354.979| -21.834, 368.813|  -9.5, 382.0|green
  -9.5, 382.0|   0.257, 391.714|  11.924, 398.048|  25.5, 401.0|blue
  25.5, 401.0|  37.243, 403.416|  49.077, 405.249|  61.0, 406.5|pink
  61.0, 406.5|  70.737, 409.393|  80.570, 411.893|  90.5, 414.0|red
  90.5, 414.0| 106.500, 415.667| 122.500, 417.333| 138.5, 419.0|orange
 138.5, 419.0| 175.973, 419.180| 213.306, 419.180| 250.5, 419.0|yellow
 250.5, 419.0| 260.056, 418.540| 269.390, 416.873| 278.5, 414.0|green
 278.5, 414.0| 305.001, 413.728| 331.001, 410.061| 356.5, 403.0|blue
 356.5, 403.0| 371.500, 398.000| 386.500, 393.000| 401.5, 388.0|pink
 401.5, 388.0| 420.270, 379.449| 438.603, 370.115| 456.5, 360.0|red
 456.5, 360.0| 475.167, 346.667| 493.833, 333.333| 512.5, 320.0|orange
 512.5, 320.0| 518.196, 313.438| 523.529, 306.605| 528.5, 299.5|yellow
 528.5, 299.5| 538.499, 292.905| 547.665, 285.238| 556.0, 276.5|green
 556.0, 276.5| 561.625, 268.085| 567.125, 259.585| 572.5, 251.0|blue
 572.5, 251.0| 582.643, 244.758| 593.309, 239.924| 604.5, 236.5|pink


Region: 21  | Segments: 10    | Area: 3152.856
 S           | A               | B               | E           | Color
 528.5, 388.5| 533.318, 389.296| 534.651, 391.962| 532.5, 396.5|black
 532.5, 396.5| 521.473, 400.231| 510.473, 404.065| 499.5, 408.0|red
 499.5, 408.0| 469.678, 422.744| 440.011, 437.744| 410.5, 453.0|orange
 410.5, 453.0| 363.615, 472.555| 314.948, 485.555| 264.5, 492.0|yellow
 264.5, 492.0| 258.833, 492.667| 253.167, 492.667| 247.5, 492.0|green
 247.5, 492.0| 237.438, 491.316| 237.104, 489.649| 246.5, 487.0|blue
 246.5, 487.0| 278.712, 484.424| 310.045, 477.758| 340.5, 467.0|pink
 340.5, 467.0| 358.060, 460.553| 375.393, 453.553| 392.5, 446.0|red
 392.5, 446.0| 420.260, 432.453| 448.260, 419.453| 476.5, 407.0|orange
 476.5, 407.0| 493.612, 399.909| 510.946, 393.742| 528.5, 388.5|yellow


Region: 22  | Segments: 13    | Area: 8575.237
 S           | A               | B               | E           | Color
 582.5, 389.5| 588.742, 391.480| 589.075, 394.313| 583.5, 398.0|black
 583.5, 398.0| 518.887, 436.770| 450.220, 466.437| 377.5, 487.0|red
 377.5, 487.0| 284.541, 514.938| 189.541, 529.438|  92.5, 530.5|orange
  92.5, 530.5|  64.679, 530.799|  37.012, 528.966|   9.5, 525.0|yellow
   9.5, 525.0|  -8.866, 521.659| -25.866, 514.992| -41.5, 505.0|green
 -41.5, 505.0| -49.148, 499.687| -54.982, 492.854| -59.0, 484.5|blue
 -59.0, 484.5| -59.498, 481.518| -59.665, 478.518| -59.5, 475.5|pink
 -59.5, 475.5| -56.689, 475.826| -54.022, 476.659| -51.5, 478.0|red
 -51.5, 478.0| -32.340, 492.579| -11.006, 502.912|  12.5, 509.0|orange
  12.5, 509.0|  45.632, 517.447|  79.298, 521.280| 113.5, 520.5|yellow
 113.5, 520.5| 222.304, 517.506| 327.304, 496.006| 428.5, 456.0|green
 428.5, 456.0| 460.953, 441.274| 493.287, 426.274| 525.5, 411.0|blue
 525.5, 411.0| 544.168, 402.654| 563.168, 395.487| 582.5, 389.5|pink


Region: 23  | Segments: 09    | Area: 1722.161
 S           | A               | B               | E           | Color
  -9.5, 442.5|  -2.737, 448.088|   3.930, 453.921|  10.5, 460.0|black
  10.5, 460.0|  26.722, 470.635|  44.388, 477.968|  63.5, 482.0|red
  63.5, 482.0|  80.395, 485.318|  97.395, 487.985| 114.5, 490.0|orange
 114.5, 490.0| 116.663, 490.245| 118.330, 491.245| 119.5, 493.0|yellow
 119.5, 493.0| 110.788, 494.766| 101.954, 495.933|  93.0, 496.5|green
  93.0, 496.5|  80.909, 495.424|  68.742, 494.591|  56.5, 494.0|blue
  56.5, 494.0|  39.263, 492.254|  23.263, 486.921|   8.5, 478.0|pink
   8.5, 478.0|  -3.600, 469.951| -10.100, 458.785| -11.0, 444.5|red
 -11.0, 444.5| -10.283, 443.956|  -9.783, 443.289|  -9.5, 442.5|orange


Region: 24  | Segments: 08    | Area: 1127.983
 S           | A               | B               | E           | Color
 126.5, 458.5| 164.097, 458.968| 201.763, 459.135| 239.5, 459.0|black
 239.5, 459.0| 242.833, 459.333| 246.167, 459.667| 249.5, 460.0|red
 249.5, 460.0| 250.641, 460.741| 250.641, 461.575| 249.5, 462.5|orange
 249.5, 462.5| 241.677, 464.645| 233.677, 465.812| 225.5, 466.0|yellow
 225.5, 466.0| 191.049, 469.242| 156.716, 469.575| 122.5, 467.0|green
 122.5, 467.0| 119.776, 466.730| 117.109, 466.230| 114.5, 465.5|blue
 114.5, 465.5| 113.534, 463.604| 113.201, 461.604| 113.5, 459.5|pink
 113.5, 459.5| 118.032, 459.818| 122.366, 459.485| 126.5, 458.5|red


total segments: 449
