Region: 00  | Segments: 48    | Area: 510176.066
 S           | A               | B               | E           | Color
 687.5,  41.0| 704.029,  43.766| 719.029,  50.099| 732.5,  60.0|red
 732.5,  60.0| 738.081,  67.828| 743.415,  75.828| 748.5,  84.0|orange
 748.5,  84.0| 747.667,  85.500| 746.500,  86.667| 745.0,  87.5|yellow
 745.0,  87.5| 728.035,  64.244| 705.202,  50.411| 676.5,  46.0|green
 676.5,  46.0| 662.789,  45.243| 649.122,  44.076| 635.5,  42.5|blue
 635.5,  42.5| 633.431,  42.176| 633.098,  41.342| 634.5,  40.0|pink
 634.5,  40.0| 639.351,  39.826| 644.018,  39.326| 648.5,  38.5|red


Region: 11  | Segments: 15    | Area: 8314.741
 S           | A               | B               | E           | Color
 614.5,  56.5| 644.268,  54.105| 670.935,  61.938| 694.5,  80.0|black
 694.5,  80.0| 725.103, 110.985| 729.603, 145.485| 708.0, 183.5|red
 708.0, 183.5| 704.390, 190.272| 699.557, 195.938| 693.5, 200.5|orange
 693.5, 200.5| 690.072, 190.933| 690.238, 181.266| 694.0, 171.5|yellow
 694.0, 171.5| 710.753, 134.793| 702.586, 105.293| 669.5,  83.0|green
 669.5,  83.0| 653.576,  75.835| 636.909,  73.502| 619.5,  76.0|blue
 619.5,  76.0| 616.363,  76.601| 613.363,  77.601| 610.5,  79.0|pink
 610.5,  79.0| 591.052,  95.220| 568.719, 105.220| 543.5, 109.0|red
 543.5, 109.0| 516.062, 114.798| 488.729, 113.798| 461.5, 106.0|orange
 461.5, 106.0| 437.941,  99.276| 424.608,  83.776| 421.5,  59.5|yellow
 421.5,  59.5| 421.833,  58.833| 422.167,  58.167| 422.5,  57.5|green
 422.5,  57.5| 437.095,  62.793| 450.095,  70.626| 461.5,  81.0|blue
 461.5,  81.0| 483.280,  95.956| 506.613,  98.623| 531.5,  89.0|pink
 531.5,  89.0| 549.710,  79.728| 568.044,  70.728| 586.5,  62.0|red
 586.5,  62.0| 595.829,  59.394| 605.162,  57.560| 614.5,  56.5|orange


Region: 12  | Segments: 11    | Area: 1465.133
 S           | A               | B               | E           | Color
 -69.5,  61.5| -64.200,  62.926| -63.366,  65.592| -67.0,  69.5|black
 -67.0,  69.5| -74.000,  75.833| -81.000,  82.167| -88.0,  88.5|red
 -88.0,  88.5| -96.608,  97.396|-100.442, 108.062| -99.5, 120.5|orange
 -99.5, 120.5| -99.718, 127.968| -98.884, 135.301| -97.0, 142.5|yellow
 -97.0, 142.5| -91.802, 148.033| -86.302, 153.200| -80.5, 158.0|green
 -80.5, 158.0| -78.182, 159.993| -75.516, 161.159| -72.5, 161.5|blue
 -72.5, 161.5| -71.948, 163.331| -71.948, 164.997| -72.5, 166.5|pink
 -72.5, 166.5| -89.864, 171.232|-101.030, 164.899|-106.0, 147.5|red
-106.0, 147.5|-106.899, 140.027|-107.399, 132.527|-107.5, 125.0|orange
-107.5, 125.0|-106.754, 109.799|-105.588,  94.632|-104.0,  79.5|yellow
-104.0,  79.5| -92.675,  73.088| -81.175,  67.088| -69.5,  61.5|green


Region: 13  | Segments: 12    | Area: 3751.000
 S           | A               | B               | E           | Color
 -43.5,  82.5| -11.401,  81.922|  17.265,  91.422|  42.5, 111.0|black
  42.5, 111.0|  45.303, 111.755|  47.970, 111.422|  50.5, 110.0|red
  50.5, 110.0|  57.892, 102.787|  66.558,  99.287|  76.5,  99.5|orange
  76.5,  99.5|  78.182, 108.086|  76.516, 116.086|  71.5, 123.5|yellow
  71.5, 123.5|  59.728, 130.110|  47.062, 133.276|  33.5, 133.0|green
  33.5, 133.0|  26.833, 133.667|  20.167, 133.667|  13.5, 133.0|blue
  13.5, 133.0|  12.234, 132.691|  11.067, 132.191|  10.0, 131.5|pink
  10.0, 131.5|   4.048, 107.264| -11.119,  98.431| -35.5, 105.0|red
 -35.5, 105.0| -50.158, 107.565| -64.825, 110.065| -79.5, 112.5|orange
 -79.5, 112.5| -80.167, 112.167| -80.833, 111.833| -81.5, 111.5|yellow
 -81.5, 111.5| -78.628, 104.247| -74.628,  97.747| -69.5,  92.0|green
 -69.5,  92.0| -61.416,  86.771| -52.749,  83.605| -43.5,  82.5|blue


Region: 14  | Segments: 23    | Area: 14502.532
 S           | A               | B               | E           | Color
 615.5,  92.5| 619.230,  92.854| 622.563,  94.187| 625.5,  96.5|black
 625.5,  96.5| 629.837, 106.672| 629.671, 117.006| 625.0, 127.5|red
 625.0, 127.5| 621.941, 134.559| 617.108, 140.059| 610.5, 144.0|orange
 610.5, 144.0| 600.227, 146.536| 590.227, 149.869| 580.5, 154.0|yellow
 580.5, 154.0| 563.678, 165.746| 545.678, 175.413| 526.5, 183.0|green
 526.5, 183.0| 521.672, 186.581| 516.672, 189.915| 511.5, 193.0|blue
 511.5, 193.0| 495.481, 196.537| 479.481, 200.204| 463.5, 204.0|pink
 463.5, 204.0| 434.242, 214.086| 404.575, 222.753| 374.5, 230.0|red
 374.5, 230.0| 368.051, 232.391| 361.718, 235.058| 355.5, 238.0|orange
 355.5, 238.0| 326.136, 244.206| 296.803, 250.539| 267.5, 257.0|yellow
 267.5, 257.0| 252.577, 258.998| 237.577, 259.998| 222.5, 260.0|green
 222.5, 260.0| 206.072, 263.011| 189.572, 264.844| 173.0, 265.5|blue
 173.0, 265.5| 147.483, 264.115| 121.983, 261.949|  96.5, 259.0|pink
  96.5, 259.0|  86.227, 256.464|  76.227, 253.131|  66.5, 249.0|red
  66.5, 249.0|  63.240, 248.216|  60.073, 248.383|  57.0, 249.5|orange
  57.0, 249.5|  37.360, 241.680|  18.693, 232.013|   1.0, 220.5|yellow
   1.0, 220.5|  -4.338, 209.842|  -5.504, 198.842|  -2.5, 187.5|green
  -2.5, 187.5|   9.750, 200.580|  24.083, 210.747|  40.5, 218.0|blue
  40.5, 218.0|  95.735, 240.073| 153.069, 248.740| 212.5, 244.0|pink
 212.5, 244.0| 276.393, 239.527| 338.393, 226.194| 398.5, 204.0|red
 398.5, 204.0| 449.399, 185.050| 499.732, 164.716| 549.5, 143.0|orange
 549.5, 143.0| 569.102, 135.278| 588.602, 127.444| 608.0, 119.5|yellow
 608.0, 119.5| 610.041, 110.330| 612.541, 101.330| 615.5,  92.5|green


Region: 15  | Segments: 10    | Area: 1588.256
 S           | A               | B               | E           | Color
 749.5, 111.5| 751.229, 112.117| 752.729, 113.117| 754.0, 114.5|black
 754.0, 114.5| 755.356, 120.666| 756.522, 126.833| 757.5, 133.0|red
 757.5, 133.0| 754.701, 156.627| 750.868, 180.127| 746.0, 203.5|orange
 746.0, 203.5| 734.077, 214.411| 720.410, 222.411| 705.0, 227.5|yellow
 705.0, 227.5| 703.644, 226.620| 702.144, 226.286| 700.5, 226.5|green
 700.5, 226.5| 699.629, 223.938| 699.629, 221.272| 700.5, 218.5|blue
 700.5, 218.5| 711.815, 214.913| 720.982, 208.246| 728.0, 198.5|pink
 728.0, 198.5| 736.488, 185.042| 741.821, 170.375| 744.0, 154.5|red
 744.0, 154.5| 745.475, 140.536| 746.309, 126.536| 746.5, 112.5|orange
 746.5, 112.5| 747.791, 112.737| 748.791, 112.404| 749.5, 111.5|yellow


Region: 16  | Segments: 94    | Area: 50616.556
 S           | A               | B               | E           | Color
 -26.5, 122.5| -23.070, 122.107| -19.904, 122.773| -17.0, 124.5|black
 -17.0, 124.5| -13.896, 129.036| -12.230, 134.036| -12.0, 139.5|red
 -12.0, 139.5| -11.333, 146.833| -11.333, 154.167| -12.0, 161.5|orange
 -12.0, 161.5| -16.101, 174.907| -19.101, 188.573| -21.0, 202.5|yellow
