Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
366.0,181.5 | 364.216,173.717 | 360.049,00167.6 | 353.5,163.0 | green
353.5,163.0 | 352.851,161.310 | 352.851,00159.5 | 353.5,157.5 | blue


Region: 06  | Segments: 26    | Area: 11427.325
S           | A               | B               | E           | Color
603.5,182.5 | 638.580,179.147 | 671.246,00186.3 | 701.5,204.0 | black
701.5,204.0 | 716.135,214.570 | 726.135,00228.6 | 731.5,246.0 | red
731.5,246.0 | 726.676,252.082 | 720.343,00255.6 | 712.5,256.5 | orange
712.5,256.5 | 711.216,243.099 | 705.550,00231.9 | 695.5,223.0 | yellow
695.5,223.0 | 689.258,221.630 | 682.925,00221.1 | 676.5,221.5 | green
676.5,221.5 | 678.182,227.822 | 681.682,00233.2 | 687.0,237.5 | blue
687.0,237.5 | 690.419,242.668 | 693.585,00248.0 | 696.5,253.5 | pink
696.5,253.5 | 696.000,253.833 | 695.500,00254.2 | 695.0,254.5 | red
695.0,254.5 | 657.396,243.506 | 619.896,00244.0 | 582.5,256.0 | orange
582.5,256.0 | 570.046,259.814 | 557.879,00264.3 | 546.0,269.5 | yellow
546.0,269.5 | 539.404,265.997 | 534.904,00260.7 | 532.5,253.5 | green
532.5,253.5 | 536.192,252.436 | 539.858,00251.3 | 543.5,250.0 | blue
543.5,250.0 | 552.167,245.333 | 560.833,00240.7 | 569.5,236.0 | pink
569.5,236.0 | 576.996,233.584 | 584.662,00231.9 | 592.5,231.0 | red
592.5,231.0 | 593.624,230.161 | 594.291,00229.0 | 594.5,227.5 | orange
594.5,227.5 | 593.701,220.669 | 592.201,00214.0 | 590.0,207.5 | yellow
590.0,207.5 | 587.749,203.874 | 584.582,00202.7 | 580.5,204.0 | green
580.5,204.0 | 567.728,209.258 | 554.728,00213.9 | 541.5,218.0 | blue
541.5,218.0 | 532.570,221.923 | 525.070,00227.8 | 519.0,235.5 | pink
519.0,235.5 | 509.430,251.197 | 512.263,00264.2 | 527.5,274.5 | red
527.5,274.5 | 528.386,275.325 | 528.719,00276.3 | 528.5,277.5 | orange
528.5,277.5 | 524.661,279.167 | 520.661,00279.7 | 516.5,279.0 | yellow
516.5,279.0 | 504.034,274.200 | 495.201,00265.7 | 490.0,253.5 | green
490.0,253.5 | 487.242,243.193 | 489.242,00233.9 | 496.0,225.5 | blue
496.0,225.5 | 508.745,212.869 | 523.579,00203.4 | 540.5,197.0 | pink
540.5,197.0 | 560.923,189.020 | 581.923,00184.2 | 603.5,182.5 | red


Region: 07  | Segments: 39    | Area: 12382.698
S           | A               | B               | E           | Color
273.5,206.5 | 312.958,204.378 | 348.291,00215.2 | 379.5,239.0 | black
379.5,239.0 | 381.126,241.628 | 383.126,00244.0 | 385.5,246.0 | red
385.5,246.0 | 392.476,245.395 | 399.476,00244.6 | 406.5,243.5 | orange
406.5,243.5 | 419.625,244.244 | 422.291,00249.7 | 414.5,260.0 | yellow
414.5,260.0 | 405.347,264.329 | 396.180,00268.5 | 387.0,272.5 | green
387.0,272.5 | 386.153,289.845 | 385.153,00307.2 | 384.0,324.5 | blue
384.0,324.5 | 373.252,331.791 | 362.419,00339.0 | 351.5,346.0 | pink
351.5,346.0 | 347.667,349.833 | 343.833,00353.7 | 340.0,357.5 | red
340.0,357.5 | 339.238,363.000 | 340.572,00368.0 | 344.0,372.5 | orange
344.0,372.5 | 353.167,387.000 | 365.000,00398.8 | 379.5,408.0 | yellow
379.5,408.0 | 382.030,409.422 | 384.697,00409.8 | 387.5,409.0 | green
387.5,409.0 | 393.657,405.171 | 400.157,00402.0 | 407.0,399.5 | blue
407.0,399.5 | 409.577,400.271 | 412.077,00401.3 | 414.5,402.5 | pink
414.5,402.5 | 411.861,409.112 | 408.694,00415.4 | 405.0,421.5 | red
405.0,421.5 | 396.779,428.744 | 387.613,00430.6 | 377.5,427.0 | orange
377.5,427.0 | 369.507,423.675 | 362.174,00419.3 | 355.5,414.0 | yellow
355.5,414.0 | 343.958,402.792 | 332.791,00391.3 | 322.0,379.5 | green
322.0,379.5 | 318.569,381.261 | 315.403,00383.4 | 312.5,386.0 | blue
312.5,386.0 | 309.269,387.466 | 305.935,00388.6 | 302.5,389.5 | pink
302.5,389.5 | 302.256,384.372 | 300.756,00379.7 | 298.0,375.5 | red
298.0,375.5 | 297.196,374.196 | 296.029,00373.5 | 294.5,373.5 | orange
294.5,373.5 | 291.803,374.232 | 289.136,00375.1 | 286.5,376.0 | yellow
286.5,376.0 | 278.525,381.136 | 270.192,00385.6 | 261.5,389.5 | green
261.5,389.5 | 260.792,387.108 | 261.458,00384.9 | 263.5,383.0 | blue
263.5,383.0 | 274.437,376.393 | 285.104,00369.4 | 295.5,362.0 | pink
295.5,362.0 | 318.050,344.449 | 340.884,00327.3 | 364.0,310.5 | red
364.0,310.5 | 364.667,298.167 | 364.667,00285.8 | 364.0,273.5 | orange
364.0,273.5 | 360.764,270.129 | 356.931,00267.6 | 352.5,266.0 | yellow
352.5,266.0 | 345.337,263.376 | 338.004,00261.4 | 330.5,260.0 | green
330.5,260.0 | 305.604,256.453 | 280.604,00254.0 | 255.5,252.5 | blue
255.5,252.5 | 255.500,251.500 | 255.500,00250.5 | 255.5,249.5 | pink
255.5,249.5 | 267.089,243.543 | 279.089,00238.4 | 291.5,234.0 | red
291.5,234.0 | 293.500,232.333 | 295.500,00230.7 | 297.5,229.0 | orange
297.5,229.0 | 278.947,223.914 | 261.280,00226.2 | 244.5,236.0 | yellow
244.5,236.0 | 240.633,240.202 | 236.467,00244.0 | 232.0,247.5 | green
232.0,247.5 | 228.435,246.199 | 224.935,00244.7 | 221.5,243.0 | blue
221.5,243.0 | 220.833,242.000 | 220.167,00241.0 | 219.5,240.0 | pink
219.5,240.0 | 222.420,231.160 | 227.753,00224.2 | 235.5,219.0 | red
235.5,219.0 | 247.187,211.493 | 259.854,00207.3 | 273.5,206.5 | orange


Region: 08  | Segments: 10    | Area: 764.183
S           | A               | B               | E           | Color
743.5,227.5 | 752.391,228.245 | 761.058,00230.1 | 769.5,233.0 | black
769.5,233.0 | 775.196,233.170 | 780.862,00233.7 | 786.5,234.5 | red
786.5,234.5 | 784.905,237.680 | 783.905,00241.0 | 783.5,244.5 | orange
783.5,244.5 | 778.968,245.763 | 774.635,00247.6 | 770.5,250.0 | yellow
770.5,250.0 | 766.173,253.499 | 761.506,00256.5 | 756.5,259.0 | green
756.5,259.0 | 753.833,259.667 | 751.167,00259.7 | 748.5,259.0 | blue
748.5,259.0 | 746.783,257.441 | 744.783,00256.6 | 742.5,256.5 | pink
742.5,256.5 | 744.588,251.882 | 747.754,00247.9 | 752.0,244.5 | red
752.0,244.5 | 754.715,237.317 | 752.215,00232.7 | 744.5,230.5 | orange
744.5,230.5 | 743.614,229.675 | 743.281,00228.7 | 743.5,227.5 | yellow


Region: 09  | Segments: 10    | Area: 2020.604
S           | A               | B               | E           | Color
158.5,235.5 | 171.169,235.767 | 183.836,00236.1 | 196.5,236.5 | black
196.5,236.5 | 196.500,237.500 | 196.500,00238.5 | 196.5,239.5 | red
196.5,239.5 | 169.358,237.496 | 143.358,00242.0 | 118.5,253.0 | orange
118.5,253.0 | 075.315,275.503 | 062.148,00310.0 | 079.0,356.5 | yellow
079.0,356.5 | 085.367,370.935 | 096.200,00380.1 | 111.5,384.0 | green
111.5,384.0 | 119.328,386.663 | 124.662,00391.8 | 127.5,399.5 | blue
127.5,399.5 | 111.016,398.007 | 097.183,00391.0 | 086.0,378.5 | pink
086.0,378.5 | 066.491,353.464 | 060.491,00325.5 | 068.0,294.5 | red
068.0,294.5 | 078.205,266.633 | 097.705,00248.8 | 126.5,241.0 | orange
126.5,241.0 | 137.189,238.453 | 147.856,00236.6 | 158.5,235.5 | yellow


Region: 10  | Segments: 08    | Area: 867.454
S           | A               | B               | E           | Color
848.5,238.5 | 861.438,239.360 | 874.438,00240.2 | 887.5,241.0 | black
887.5,241.0 | 904.029,243.766 | 919.029,00250.1 | 932.5,260.0 | red
932.5,260.0 | 938.081,267.828 | 943.415,00275.8 | 948.5,284.0 | orange
948.5,284.0 | 947.667,285.500 | 946.500,00286.7 | 945.0,287.5 | yellow
945.0,287.5 | 928.035,264.244 | 905.202,00250.4 | 876.5,246.0 | green
876.5,246.0 | 862.789,245.243 | 849.122,00244.1 | 835.5,242.5 | blue
835.5,242.5 | 833.431,242.176 | 833.098,00241.3 | 834.5,240.0 | pink
834.5,240.0 | 839.351,239.826 | 844.018,00239.3 | 848.5,238.5 | red


Region: 11  | Segments: 15    | Area: 8314.741
S           | A               | B               | E           | Color
814.5,256.5 | 844.268,254.105 | 870.935,00261.9 | 894.5,280.0 | black
894.5,280.0 | 925.103,310.985 | 929.603,00345.5 | 908.0,383.5 | red
908.0,383.5 | 904.390,390.272 | 899.557,00395.9 | 893.5,400.5 | orange
893.5,400.5 | 890.072,390.933 | 890.238,00381.3 | 894.0,371.5 | yellow
894.0,371.5 | 910.753,334.793 | 902.586,00305.3 | 869.5,283.0 | green
869.5,283.0 | 853.576,275.835 | 836.909,00273.5 | 819.5,276.0 | blue
819.5,276.0 | 816.363,276.601 | 813.363,00277.6 | 810.5,279.0 | pink
810.5,279.0 | 791.052,295.220 | 768.719,00305.2 | 743.5,309.0 | red
743.5,309.0 | 716.062,314.798 | 688.729,00313.8 | 661.5,306.0 | orange
661.5,306.0 | 637.941,299.276 | 624.608,00283.8 | 621.5,259.5 | yellow
621.5,259.5 | 621.833,258.833 | 622.167,00258.2 | 622.5,257.5 | green
622.5,257.5 | 637.095,262.793 | 650.095,00270.6 | 661.5,281.0 | blue
661.5,281.0 | 683.280,295.956 | 706.613,00298.6 | 731.5,289.0 | pink
731.5,289.0 | 749.710,279.728 | 768.044,00270.7 | 786.5,262.0 | red
786.5,262.0 | 795.829,259.394 | 805.162,00257.6 | 814.5,256.5 | orange


Region: 12  | Segments: 11    | Area: 1465.133
S           | A               | B               | E           | Color
130.5,261.5 | 135.800,262.926 | 136.634,00265.6 | 133.0,269.5 | black
133.0,269.5 | 126.000,275.833 | 119.000,00282.2 | 112.0,288.5 | red
112.0,288.5 | 103.392,297.396 | 099.558,00308.1 | 100.5,320.5 | orange
100.5,320.5 | 100.282,327.968 | 101.116,00335.3 | 103.0,342.5 | yellow
103.0,342.5 | 108.198,348.033 | 113.698,00353.2 | 119.5,358.0 | green
